Name,MRP,Rate,Discount,Ratings,Packing
Baidyanath Kesari Kalp Royal Chyawanprash,690.0,552.0,20.0,4.3,jar of 1 kg Paste
Jiva Chyawanprasha Sugar Free,350.0,280.0,20.0,4.2,jar of 1 kg Paste
Dabur Chyawanprash Awaleha with 75gm Extra,185.0,167.0,9.0,4.4,jar of 500 gm Paste
Dhootapapeshwar Swamala,1375.0,1209.0,12.0,4.5,jar of 1 kg Paste
Organic India Chyawanprash,495.0,445.0,10.0,4.5,jar of 500 gm Paste
Dabur Chyawanprakash Sugarfree,210.0,206.0,2.0,4.5,jar of 500 gm Paste
Dabur Chyawanprash Awaleha,95.0,93.0,2.0,4.4,jar of 250 gm Paste
Baidyanath (Jhansi) Chyawan-Vit Sugar Free,375.0,300.0,20.0,3.5,jar of 1 kg Paste
Jiva Chyawanprasha,325.0,260.0,20.0,4.1,jar of 1000 gm Paste
Jiva Chyawanprasha Sugar Free,195.0,166.0,15.0,4.2,jar of 500 gm Paste
Baidyanath (Jhansi) Chyawanprash Special,325.0,282.0,13.0,3.9,jar of 1200 gm Paste
Dr. Vaidya's Chakaash Chyanwanprash Toffee,100.0,86.0,14.0,3.6,packet of 50 lozenges
Swadeshi Special Chyawanprash,315.0,243.0,23.0,4.1,jar of 1 kg Paste
"Baidyanath (Jhansi) Kesari Kalp Royal Chyawanprash Enriched with Gold, Silver & Saffron",690.0,573.0,17.0,4.6,jar of 1 kg Paste
Dhootapapeshwar Chyavanprash (Ashtavarg),450.0,414.0,8.0,4.2,jar of 1 kg Paste
Sri Sri Tattva Chyawanprash,110.0,104.0,5.0,4.2,jar of 250 gm Paste
Dhootapapeshwar Chyavanprash (Ashtavarg),242.0,228.0,5.0,4.2,jar of 500 gm Paste
Nutriorg Vedic Chyawanprash,495.0,421.0,15.0,4.9,jar of 500 gm Paste
Lama Chyawanprash,575.0,385.0,33.0,4,jar of 2 kg Paste
Jiva Chyawanprasha,185.0,157.0,15.0,4.1,jar of 500 gm Paste
Swadeshi Special Chyawanprash,165.0,143.0,13.0,4.1,jar of 500 gm Paste
Dr. Vaidya's Herbofit Capsule,180.0,156.0,13.0,3.8,bottle of 30 capsules
Meghdoot Triphla Prash,275.0,234.0,15.0,3.9,jar of 1 kg Paste
Maharishi Chyavanprash,390.0,351.0,10.0,3.9,jar of 500 gm Paste
Nutriorg Vedic Chyawanprash,255.0,247.0,3.0,4.9,jar of 250 gm Paste
Tansukh Chyawangold,890.0,802.0,10.0,3.3,jar of 1 kg Paste
Pravek Chyawanprash,350.0,263.0,25.0,,jar of 1 kg Paste
Meghdoot Special Chyawanprash,320.0,272.0,15.0,4,jar of 1 kg Paste
Dindayal Chyawanprash Kesar Yukta,325.0,302.0,7.0,3.7,jar of 1 kg Paste
Meghdoot Triphla Prash,150.0,146.0,2.0,3.9,jar of 500 gm Paste
Unjha Rajwadi Prash Gold Avleh,684.0,684.0,0.0,,jar of 900 gm Paste
Lama Chyawanprash,325.0,244.0,25.0,4,jar of 1 kg Paste
Meghdoot Special Chyawanprash,180.0,175.0,2.0,4,jar of 500 gm Paste
Navjeewan Chyavanprash (Asvarg-Yukta),360.0,306.0,15.0,,jar of 1 kg Paste
Pravek Chyawanprash,190.0,169.0,11.0,,jar of 500 gm Paste
Lama Chyawanprash,180.0,148.0,17.0,4,jar of 500 gm Paste
Dr. Vaidya's Family Chyawanprash Pack,280.0,230.0,18.0,,combo pack of 2 units
Indu Pharma Chyawanprash Avaleha,320.0,320.0,0.0,,jar of 250 gm Paste
Tansukh Chyawangold,495.0,396.0,20.0,3.3,jar of 500 gm Paste
Alva's Chyawanaprasha,105.0,105.0,0.0,,jar of 250 gm Paste
Age Ayurveda Chyawan Cap,275.0,275.0,0.0,,bottle of 60 vegicaps
