Name,MRP,Rate,Discount,Ratings,Packing
Lizol Disinfectant Surface Cleaner Citrus,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Dettol Antiseptic Disinfectant Liquid,55.0,55.0,0.0,4.6,bottle of 125 ml Liquid
Lizol Disinfectant Surface Cleaner Lavender,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Dettol Antiseptic Disinfectant Liquid,105.6,105.6,0.0,4.6,bottle of 250 ml Liquid
Affpure Vegetable & Fruit Wash,495.0,421.0,15.0,4,pump bottle of 500 ml Liquid
Bacto-V Multi Surface Disinfectant Spray,120.0,120.0,0.0,4,pump bottle of 180 ml Spray
Lizol All Purpose Power Cleaner Lemon Squeeze,136.0,116.0,14.0,4.5,bottle of 450 ml Liquid
Khadi Essentials Pure & Safe Sanitizer,499.0,414.0,17.0,3.7,Canister of 1 Ltr Sanitizer
Savlon Surface Disinfectant Spray,159.0,151.0,5.0,4.6,pump bottle of 170 gm Spray
Bodyguard Multiprotect Alcohol Based Disinfectant Spray,299.0,236.0,21.0,3.9,pump bottle of 300 ml Spray
SteriAll Natural Vegetables & Fruits Wash Liquid,225.0,180.0,20.0,,bottle of 450 ml Liquid
Schulke Mikrozid 25 Rapid Surface Disinfectant,260.0,260.0,0.0,,bottle of 250 ml Liquid
TNW Instant Disinfectant Spray,350.0,333.0,5.0,,pump bottle of 200 ml Liquid
Ciphands Daily Surface Disinfectant Spray,129.0,129.0,0.0,4.3,pump bottle of 75 ml Spray
Bacto-V Multi Surface Disinfectant Spray,165.0,165.0,0.0,4,pump bottle of 250 ml Spray
Cura Home Spray Sanitizer,250.0,250.0,0.0,3.5,pump bottle of 500 ml Liquid
Dettol Antiseptic Disinfectant Liquid,27.5,27.5,0.0,4.6,bottle of 60 ml Liquid
Dettol Menthol Cool Multi-Purpose Disinfectant Liquid,193.0,193.0,0.0,4,bottle of 500 ml Liquid
Dettol Disinfectant Spray Original Pine,159.0,159.0,0.0,4.7,pump bottle of 170 gm Spray
Lizol Disinfectant Surface Cleaner Citrus,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Praxis Sodium Hypochlorite Solution,600.0,480.0,20.0,,Canister of 5 Ltr Solution
Detoxirub-W Rapid Disinfectant Wet Wipes,275.0,275.0,0.0,4.8,packet of 30 wipes
Lizol Disinfectant Surface Cleaner Jasmine,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Bodyguard Multiprotect Alcohol Based Disinfectant Spray,425.0,349.0,18.0,3.9,pump bottle of 500 ml Spray
Lizol Disinfectant Surface Cleaner Floral,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Lizol Disinfectant Surface Cleaner Floral,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Lizol Disinfectant Surface Cleaner Pine,179.0,158.0,11.0,4.3,bottle of 975 ml Liquid
Lizol Disinfectant Surface Cleaner Pine,93.0,84.0,9.0,4.3,bottle of 500 ml Liquid
Lizol Bathroom Power Cleaner Ocean Breeze,136.0,116.0,14.0,4.4,pump bottle of 450 ml Liquid
Khadi Essentials Pure & Safe Sanitizer,2499.0,1719.0,31.0,3.7,Canister of 5 Ltr Sanitizer
Lizol Kitchen Power Cleaner Orange Burst,136.0,116.0,14.0,4.8,pump bottle of 450 ml Liquid
"SteriAll Sanitizer Solution Spray (Pack of 1 with 2 Refill Pack, 200ml Each)",300.0,285.0,5.0,3,combo pack of 3 bottles
Green Brrew Disinfectant Surface Cleaner Sanitizer Spray,250.0,243.0,2.0,,pump bottle of 500 ml Liquid
Zenith Surface Disinfectant Multipurpose Spray,260.0,195.0,25.0,,pump bottle of 350 ml Spray
CleanBAC Multi Surface Sanitizer Spray,189.0,189.0,0.0,,pump bottle of 170 gm Sanitizer
Raho Safe Multipurpose Surface Protectant,349.0,342.0,2.0,,pump bottle of 100 ml Liquid
SteriAll-D Surface Disinfectant Spray,350.0,326.0,7.0,3.7,pump bottle of 500 ml Spray
Marico's House Protect Surface Disinfectant Spray,179.0,143.0,20.0,,bottle of 200 ml Spray
Dr. Vaidya's Herbo Cleanse Fruit & Veggie Wash (200ml Each),300.0,255.0,15.0,,combo pack of 2 bottles
Asianpaints Viroprotek Xtremo Disinfectant Toilet Cleaner,168.0,168.0,0.0,,bottle of 1 Ltr Liquid
SteriAll-MPC Sodium Hypochlorite Multipurpose Disinfectant Solution,500.0,229.0,54.0,,bottle of 1 Ltr Liquid
Raho Safe Multipurpose Surface Disinfectant Spray,149.0,129.0,13.0,,pump bottle of 120 ml Spray
Mirah Belle Surface Disinfectant Spray,250.0,200.0,20.0,,bottle of 500 ml Spray
Khadi Essentials Pure & Safe Multi-Purpose Disinfectant Spray (550ml Each),798.0,499.0,37.0,,combo pack of 2 bottles
Marico's Travel Protect Surface Disinfectant Spray,179.0,143.0,20.0,,bottle of 200 ml Spray
Mirah Belle Surface Disinfectant Spray,1000.0,800.0,20.0,,Canister of 2 Ltr Spray
DND Ayurvedic Disinfectant Spray,250.0,200.0,20.0,,pump bottle of 250 ml Spray
Saafoo Meat Wash,120.0,120.0,0.0,,bottle of 500 ml Liquid
SteriAll-MPC Sodium Hypochlorite Multipurpose Disinfectant Solution,300.0,179.0,40.0,,bottle of 500 ml Liquid
Marico's Travel Protect Surface Disinfectant Spray,99.0,89.0,10.0,,bottle of 75 ml Spray
Asianpaints Viroprotek Xtremo Disinfectant Toilet Cleaner (500ml Each),172.0,172.0,0.0,,combo pack of 2 bottles
ClearKill Surface Sanitizer Disinfectant,600.0,600.0,0.0,,bottle of 1 Ltr Liquid
