Name,MRP,Rate,Discount,Ratings,Packing
Sri Sri Tattva Tulasi Arka,80.0,77.0,3.0,4,bottle of 30 ml Liquid
Kamdhenu Ayurvedic Pharmacy Ayush Kadha Powder,135.0,132.0,2.0,4.2,box of 100 gm Powder
Purayati Vitamin C Vegetarian Tablet,490.0,441.0,10.0,3.9,bottle of 90 tablets
1mg Immune Support Capsule,375.0,189.0,49.0,,bottle of 30 capsules
1mg Turmeric Curcumin 95% with Piperine Capsule,675.0,339.0,49.0,,bottle of 30 capsules
SBL Arsenicum Album Dilution 200 CH,89.0,83.0,6.0,,bottle of 30 ml Dilution
Organic India Turmeric Formula Veg Capsule,295.0,259.0,12.0,4.4,bottle of 60 vegicaps
1mg Salmon Omega 3 Fish Oil Capsule,995.0,499.0,50.0,4.3,bottle of 60 capsules
Garlic Pearls Capsule,150.0,134.0,10.0,4.3,bottle of 100 soft gelatin capsules
1mg Giloy 500mg Capsule,325.0,164.0,49.0,,bottle of 30 capsules
Axiom Karela Jamun Juice,300.0,246.0,18.0,4.2,bottle of 1 Ltr Juice
"Inlife Fish Oil Omega 3,1000mg Capsule",799.0,495.0,38.0,3.8,bottle of 60 capsules
HealthVit Tulsi Drops,200.0,174.0,13.0,4.3,bottle of 30 ml Liquid
HealthVit C-Vitan Natural Vitamin C 1000mg Effervescent Tablet Orange,350.0,242.0,31.0,4.3,bottle of 20 Effervescent Tablet
Dabur Chyawanprash Awaleha with 75gm Extra,185.0,167.0,9.0,4.4,jar of 500 gm Paste
TurmaBoost Turmeric Curcumin and Piperine Extract Capsule,165.0,155.0,6.0,4.3,box of 10 capsules
TrueBasics Ashwagandha 600mg Vegetarian Capsule,999.0,849.0,15.0,,bottle of 60 vegicaps
Bjain Arsenicum Album Dilution 200 CH,155.0,140.0,9.0,,bottle of 100 ml Dilution
1mg Karela Pure Natural Extract 500mg Capsule,445.0,224.0,49.0,4.2,bottle of 60 capsules
Dabur Giloy Ki Ghanvati,90.0,88.0,2.0,4.5,bottle of 40 tablets
Nature's Velvet Natural Vitamin C 500mg Capsule,800.0,360.0,55.0,4.1,bottle of 60 capsules
Seacod Cod Liver Oil Capsule,291.74,263.0,10.0,4.5,bottle of 110 soft gelatin capsules
Organic India Tulsi Green Tea Lemon Ginger,174.0,156.0,10.0,4.4,box of 25 tea bags
Aimil Ayush Kwath Powder,240.0,231.0,3.0,4.5,bottle of 90 gm Powder
Inlife Curcumin C3 Complex (95% Curcuminoids)500 mg Turmeric with BioPerine,1299.0,766.0,41.0,4.1,bottle of 60 capsules
Swadeshi Special Chyawanprash,315.0,243.0,23.0,4.1,jar of 1 kg Paste
Herb Essential Giloy 500mg Immunity Booster Tablet,240.0,211.0,12.0,4.2,bottle of 60 tablets
Himalaya Wellness Pure Herbs Neem Skin Wellness Tablet,150.0,138.0,8.0,4.4,bottle of 60 tablets
Basic Ayurveda Panch Basil Drop,250.0,231.0,7.0,4.6,bottle of 30 ml Drop
Organic India Flaxseed Oil Capsule,495.0,435.0,12.0,4.3,bottle of 60 capsules
Nutriorg Wheat Grass Juice with Giloy & Tulsi,325.0,299.0,8.0,4.3,bottle of 500 ml Juice
Dr. Vaidya's Viral Immunity Pack,630.0,517.0,18.0,,combo pack of 5 units
Organic India Tulsi Green Tea Classic,174.0,156.0,10.0,4.4,box of 25 tea bags
Similia Arsenicum Album Dilution 30 CH,85.0,79.0,7.0,,bottle of 30 ml Dilution
Seven Seas Original Cod-Liver Oil Capsule,291.74,265.0,9.0,4.5,bottle of 100 soft gelatin capsules
SBL Arsenicum Album Dilution 30 CH,85.0,59.0,30.0,,bottle of 30 ml Dilution
Seven Seas Original Cod-Liver Oil Capsule,1107.15,1030.0,7.0,4.5,bottle of 500 soft gelatin capsules
Dr. Reckeweg Arsenicum Album 30 CH Dilution,125.0,116.0,7.0,,bottle of 11 ml Dilution
Fast&Up Charge Natural Vitamin C & Zinc Orange Effervescent Tablet,1170.0,819.0,30.0,4.5,combo pack of 60 Effervescent Tablet
Jiva Neem Tablet,70.0,63.0,10.0,4.1,bottle of 120 tablets
Nature's Velvet Vitamin C 1000mg Tablet,1500.0,795.0,47.0,4.3,bottle of 60 tablets
Jiva Chyawanprasha Sugar Free,350.0,280.0,20.0,4.2,jar of 1 kg Paste
Fast&Up Charge Natural Vitamin C & Zinc Orange Effervescent Tablet,390.0,273.0,30.0,4.3,bottle of 20 Effervescent Tablet
Baidyanath Kesari Kalp Royal Chyawanprash,690.0,552.0,20.0,4.3,jar of 1 kg Paste
Jolly Tulsi 51 Drop,195.0,185.0,5.0,4.4,bottle of 18 ml Drop
Dabur Chyawanprakash Sugarfree,210.0,206.0,2.0,4.5,jar of 500 gm Paste
Himalaya Wellness Pure Herbs Tulasi Respiratory Wellness Tablet,151.98,140.0,8.0,4.3,bottle of 60 tablets
Dhootapapeshwar Swamala,1375.0,1209.0,12.0,4.5,jar of 1 kg Paste
E-COD Plus Vitamin E Supplement Softgels,228.5,206.0,10.0,4.2,strip of 15 soft gelatin capsules
Dr Willmar Schwabe India Arsenicum Album Dilution 30 CH,90.0,83.0,7.0,,bottle of 30 ml Dilution
Himalaya Wellness Pure Herbs Karela Metabolic Wellness Tablet,150.0,135.0,10.0,4.1,bottle of 60 tablets
Jiva Giloy Tulsi Plus Juice,250.0,200.0,20.0,4.4,bottle of 500 ml Juice
